title,group
مدیر کل اداره دولتی,قانون‌گذاران‌و‌مقامات‌ارشد‌دولتی
مدیر کل اداره کل دولتی,قانون‌گذاران‌و‌مقامات‌ارشد‌دولتی
مدیر کل دستگاه دولتی,قانون‌گذاران‌و‌مقامات‌ارشد‌دولتی
مدیر کل سازمان بین دولتی,قانون‌گذاران‌و‌مقامات‌ارشد‌دولتی
مدیر کل سازمان  دولتی,قانون‌گذاران‌و‌مقامات‌ارشد‌دولتی
مدیرکل اداره دولتی,قانون‌گذاران‌و‌مقامات‌ارشد‌دولتی
مدیرکل اداره کل دولتی,قانون‌گذاران‌و‌مقامات‌ارشد‌دولتی
مدیرکل دستگاه  دولتی,قانون‌گذاران‌و‌مقامات‌ارشد‌دولتی
مدیر عامل,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیر اجرایی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیریت اجرایی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیر ارشد,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیر  ارشد اجرایی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیر ارشد امور اجرایی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیر امور اجرایی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیر عملیات,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیر عامل اجرایی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
معاون مدیر عامل,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیرعامل,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیر ارشد اجرایی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیرعامل شرکت,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
معاون مدیرعامل,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
کارشناس صنایع دخانیات,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مهندس صنایع دخانی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مهندس صنایع دخانیات,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
صنایع دخانیات,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
صنایع دخانی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیر عامل شرکت دخانیات,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
شرکت دخانیات,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیرعامل شرکت دخانیات,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
امور بازرگانی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیر امور بازرگانی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
امور بازرگانی خارجی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
امور بازرگانی داخلی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
معاملات خارجی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
معاملات داخلی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
بازرگانی خارجی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
بازرگانی داخلی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
بازرگان,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
تاجر,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
رئیس مؤسسه تجاری و بازرگانی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مؤسسه تجاری و بازرگانی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
 تجاری و بازرگانی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
خدمات بازرگانی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مؤسسه خدمات بازرگانی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیرعامل مؤسسه خدمات بازرگانی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مشاور مدیر,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مشاور مدیر عامل,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مشاور مدیریت,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مشاور مدیر اجرایی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مشاور مدیریت اجرایی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مشاور مدیر ارشد,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مشاور مدیر  ارشد اجرایی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مشاور مدیر ارشد امور اجرایی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مشاور مدیر امور اجرایی,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مشاور مدیر عملیات,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مشاور مدیر عامل اجرایی ,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مشاور مدیرعامل,مدیران‌عامل‌و‌مدیران‌ارشد‌اجرایی
مدیر منابع انسانی,مدیران‌منابع‌انسانی
مدیران منابع انسانی,مدیران‌منابع‌انسانی
کارشناس منابع انسانی,مدیران‌منابع‌انسانی
رئیس کارگزینی,مدیران‌منابع‌انسانی
سرپرست کارگزینی,مدیران‌منابع‌انسانی
مدیر کارگزینی,مدیران‌منابع‌انسانی
کارشناس امور کارگزینی,مدیران‌منابع‌انسانی
مدیر امور استخدامی,مدیران‌منابع‌انسانی
مسئول گزینش استخدام,مدیران‌منابع‌انسانی
کارشناس استخدام کارکنان,مدیران‌منابع‌انسانی
مدیر امورپرسنلی,مدیران‌منابع‌انسانی
مدیر امور کارکنان,مدیران‌منابع‌انسانی
مسئول آمار پرسنلی,مدیران‌منابع‌انسانی
کارشناس ارزشیابی پرسنلی,مدیران‌منابع‌انسانی
متصدی ثبت پرونده های پرسنلی,مدیران‌منابع‌انسانی
متخصص امور کارکنان,مدیران‌منابع‌انسانی
سرپرست بخش امور کارکنان,مدیران‌منابع‌انسانی
مدیر تشکیلات اداری,مدیران‌منابع‌انسانی
مدیر امور اداری,مدیران‌منابع‌انسانی
کارشناس امور اداری,مدیران‌منابع‌انسانی
رئیس امور اداری,مدیران‌منابع‌انسانی
مشاورامور اداری,مدیران‌منابع‌انسانی
مدیر خدمات اداری,مدیران‌منابع‌انسانی
مدیر روابط صنعتی,مدیران‌منابع‌انسانی
مدیران در فعالیت های صنعتی,مدیران‌منابع‌انسانی
معاون کارگزینی,مدیران‌منابع‌انسانی
متصدی کارگزینی,مدیران‌منابع‌انسانی
کارکنان امور کارگزینی,مدیران‌منابع‌انسانی
